AX AY AZ AT GX GY GZ GT TS
0 0 0 0 14.04 10.13 11.41 35.58 1655503797.6674619
-0.1 -0.09 -2.04 -2.24 13.98 11.23 4.64 29.85 1655503797.667898
-0.1 -0.13 -2.04 -2.27 14.16 11.78 2.44 28.38 1655503797.668199
-0.1 -0.13 -2.04 -2.26 14.16 9.95 10.13 34.24 1655503797.6684084
-0.11 -0.13 -2.04 -2.28 13.61 11.17 9.09 33.87 1655503797.6687229
-0.11 -0.13 -2.04 -2.28 14.53 10.8 9.46 34.79 1655503797.6689143
-0.11 -0.13 -2.04 -2.27 13.73 10.5 8.36 32.59 1655503797.6691556
-0.11 -0.13 -2.04 -2.28 12.33 10.25 8.48 31.07 1655503797.6693947
-0.11 -0.13 -2.04 -2.28 12.76 10.68 8.79 32.23 1655503797.6696336
-0.1 -0.13 -2.04 -2.26 12.39 10.5 8.79 31.68 1655503797.6699045
-0.1 -0.13 -2.03 -2.26 13.79 10.56 9.95 34.3 1655503797.6701543
-0.1 -0.13 -2.04 -2.28 13.43 10.5 10.25 34.18 1655503797.6705294
-0.1 -0.13 -2.04 -2.27 14.28 9.34 9.83 33.45 1655503797.67088
-0.1 -0.13 -2.04 -2.28 12.82 10.99 9.52 33.33 1655503797.671263
-0.1 -0.13 -2.03 -2.27 12.57 10.13 8.42 31.13 1655503797.671627
-0.11 -0.13 -2.04 -2.28 12.21 9.58 9.22 31.01 1655503797.6719935
-0.11 -0.13 -2.04 -2.27 13.06 9.64 9.28 31.98 1655503797.6723309
-0.1 -0.13 -2.04 -2.27 11.05 9.22 8.91 29.17 1655503797.6726344
-0.1 -0.13 -2.04 -2.28 13.79 9.77 8.79 32.35 1655503797.6729317
-0.1 -0.12 -2.04 -2.27 13.24 9.34 9.46 32.04 1655503797.6732283
-0.1 -0.13 -2.04 -2.27 11.23 10.19 9.95 31.37 1655503797.6735322
-0.1 -0.12 -2.04 -2.26 10.99 8.61 9.58 29.17 1655503797.6738288
-0.1 -0.12 -2.04 -2.27 12.63 9.7 8.48 30.82 1655503797.6741278
-0.1 -0.13 -2.04 -2.26 13.0 9.95 9.03 31.98 1655503797.6744254
-0.11 -0.13 -2.03 -2.26 10.62 8.61 9.22 28.44 1655503797.674722
-0.1 -0.12 -2.04 -2.27 11.35 9.03 9.58 29.97 1655503797.675029
-0.1 -0.13 -2.03 -2.27 12.57 9.89 8.61 31.07 1655503797.675325
-0.1 -0.13 -2.04 -2.27 11.72 9.46 9.58 30.76 1655503797.6756248
-0.11 -0.13 -2.04 -2.27 12.51 9.58 8.61 30.7 1655503797.6759243
-0.1 -0.13 -2.04 -2.26 11.11 10.31 8.85 30.27 1655503797.6763458
-0.1 -0.12 -2.04 -2.26 12.94 10.56 9.58 33.08 1655503797.6782608
-0.11 -0.12 -2.04 -2.27 11.96 9.89 8.54 30.4 1655503797.681793
